Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _merebhub_author_name,Meta: merebhub_fulfillment_type,Meta: merebhub_billing_model,Meta: merebhub_billing_interval,Meta: merebhub_trial_days,Meta: merebhub_weekly_sales,Meta: merebhub_app_url
simple,GLOBAL-ASANA,Asana Starter,1,0,visible,"Project planning, work tracking, and team coordination.","Asana Starter helps teams plan projects, assign work, track progress, and coordinate deadlines. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,6500,"Productivity, Business",Asana,,14,Platform,"Web, Windows, macOS, iOS, Android",1,1,Asana,web_access,manual_subscription,yearly,30,238,https://asana.com/pricing
simple,GLOBAL-MONDAY,monday.com Standard,1,0,visible,"Flexible work management for projects and operations.","monday.com Standard provides boards, automations, dashboards, integrations, and collaborative work management. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,6800,"Productivity, Business",monday.com,,15,Platform,"Web, Windows, macOS, iOS, Android",1,1,monday.com,web_access,manual_subscription,yearly,14,229,https://monday.com/pricing
simple,GLOBAL-JIRA,Jira Standard,1,0,visible,"Issue tracking and project management for software teams.","Jira Standard helps software and business teams plan work, track issues, and deliver projects. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,5900,"Developer Tools, Productivity",Atlassian,,16,Platform,"Web, iOS, Android",1,1,Atlassian,web_access,manual_subscription,yearly,30,221,https://www.atlassian.com/software/jira/pricing
simple,GLOBAL-TODOIST,Todoist Pro,1,0,visible,"Fast personal task management and planning.","Todoist Pro adds advanced reminders, calendar layouts, filters, and productivity history for organized work. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,3200,Productivity,Doist,,17,Platform,"Web, Windows, macOS, Linux, iOS, Android",1,1,Doist,web_access,manual_subscription,yearly,30,214,https://www.todoist.com/pricing
simple,GLOBAL-COPILOT,GitHub Copilot Business,1,0,visible,"AI coding assistance for professional development teams.","GitHub Copilot Business provides organization-managed AI coding assistance across supported editors and GitHub workflows. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,9500,"Developer Tools, Productivity",GitHub,,18,Platform,"Windows, macOS, Linux, Web",1,1,GitHub,license_key,manual_subscription,yearly,30,208,https://github.com/features/copilot/copilot-business
simple,GLOBAL-JETBRAINS,JetBrains All Products Pack,1,0,visible,"A complete collection of professional developer tools.","JetBrains All Products Pack includes professional IDEs and development tools for many languages and platforms. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,34000,Developer Tools,JetBrains,,19,Platform,"Windows, macOS, Linux",1,1,JetBrains,license_key,manual_subscription,yearly,30,197,https://www.jetbrains.com/all/
simple,GLOBAL-AUTOCAD,Autodesk AutoCAD,1,0,visible,"Professional CAD drafting and design software.","Autodesk AutoCAD provides precise 2D drafting, 3D design, automation, and collaboration tools for professional workflows. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,68000,"Design, Business",Autodesk,,20,Platform,"Windows, macOS, Web, iOS, Android",1,1,Autodesk,license_key,manual_subscription,yearly,15,190,https://www.autodesk.com/products/autocad/overview
simple,ET-DEMO-PACKLEDGE,Packledge MIS,1,1,visible,"A focused management information system for growing Ethiopian organizations.","Track operations, reporting, users, and daily business activity from one practical management workspace.",taxable,1,250,0,0,1,299,350,"Business, Data & Analytics","Made in Ethiopia, Demo",,21,Platform,"Web, Windows",1,1,Packledge,web_access,one_time,,,176,https://example.com
simple,ET-DEMO-SOKO,Soko Inventory,1,1,visible,"Inventory and stock control built for local retailers.","Manage stock, purchase orders, transfers, suppliers, and low-stock alerts across one or more branches.",taxable,1,250,0,0,1,449,499,"Business, Utilities","Made in Ethiopia, Demo",,22,Platform,"Web, Android",1,1,Soko Labs,web_access,one_time,,,164,https://example.com
simple,ET-DEMO-LEDGERLY,Ledgerly,1,1,visible,"Simple finance tracking for small businesses.","Keep income, expenses, invoices, and cash-flow reports organized without a complicated accounting setup.",taxable,1,250,0,0,1,,590,"Business, Finance","Made in Ethiopia, Demo",,23,Platform,"Web, Android",1,1,Brightbooks,web_access,one_time,,,151,https://example.com
simple,ET-DEMO-DEPLOYMATE,Deploymate,1,1,visible,"Deployment monitoring for modern development teams.","Monitor releases, environments, uptime, incidents, and deployment history from a clean operational dashboard.",taxable,1,250,0,0,1,,790,"Developer Tools, Utilities","Made in Ethiopia, Demo",,24,Platform,"Web, Linux",1,1,Shipmate,license_key,one_time,,,143,https://example.com
simple,ET-DEMO-PATCHBAY,Patchbay,1,0,visible,"Audio workflow utilities for creators and studios.","Organize routing presets, audio tools, and repeatable studio workflows from one lightweight desktop utility.",taxable,1,250,0,0,1,349,390,"Music & Audio, Utilities","Made in Ethiopia, Demo",,25,Platform,"Windows, macOS",1,1,Modulr,license_key,one_time,,,132,https://example.com
simple,ET-DEMO-FORMWORK,Formwork,1,0,visible,"Create and manage professional business forms.","Build reusable forms, collect responses, export reports, and keep operational paperwork organized.",taxable,1,250,0,0,1,,290,"Business, Productivity","Made in Ethiopia, Demo",,26,Platform,"Web",1,1,Formwork Labs,web_access,one_time,,,124,https://example.com
simple,ET-DEMO-ADDISDESK,AddisDesk,1,0,visible,"A lightweight help desk for growing support teams.","Manage customer requests, team assignments, response status, and service history in one focused workspace.",taxable,1,250,0,0,1,,650,"Business, Communication","Made in Ethiopia, Demo",,27,Platform,"Web",1,1,Addis Systems,web_access,manual_subscription,yearly,14,118,https://example.com
simple,ET-DEMO-GEBEYAPOS,GebeyaPOS,1,0,visible,"Point-of-sale software for shops and restaurants.","Process sales, monitor stock, manage shifts, and review daily reports with a locally focused point-of-sale system.",taxable,1,250,0,0,1,,850,"Business, Finance","Made in Ethiopia, Demo",,28,Platform,"Windows, Android",1,1,Gebeya Systems,license_key,one_time,,,109,https://example.com
simple,ET-DEMO-BLUENILE,BlueNile Analytics,1,0,visible,"Clear dashboards for operational and sales data.","Turn spreadsheets and connected business data into focused dashboards, scheduled reports, and practical insights.",taxable,1,250,0,0,1,,990,"Data & Analytics, Business","Made in Ethiopia, Demo",,29,Platform,"Web",1,1,BlueNile Data,web_access,manual_subscription,yearly,14,96,https://example.com
simple,ET-DEMO-QENE,Qene Studio,1,0,visible,"A creative writing workspace with Amharic-first tools.","Draft, organize, revise, and publish long-form writing with a distraction-free workspace and Amharic language support.",taxable,1,250,0,0,1,,420,"Productivity, Design","Made in Ethiopia, Demo",,30,Platform,"Windows, macOS, Web",1,1,Qene Works,license_key,one_time,,,88,https://example.com
